Tue Sep 15 10:00:14 MSK 2015	Global	Guardian Weekly Letters, 18 September 2015	[]
Tue Sep 15 07:29:42 MSK 2015	Music	Devo’s Jerry Casale says September 11-themed wedding cake was a 'set-up'	[Devo, Music, September 11 2001, Culture, US news, Pop and rock]
Tue Sep 15 07:19:28 MSK 2015	Media	Press freedom body demands release of Thai journalist	[Media, Thailand, Press freedom, Asia Pacific, Journalist safety, Newspapers, World news]
Tue Sep 15 07:17:12 MSK 2015	Technology	Chatterbox: Tuesday	[Games, Technology]
Tue Sep 15 07:10:44 MSK 2015	Australia news	Conflicting promises present Malcolm Turnbull with core leadership dilemma	[Malcolm Turnbull, Australian politics, Liberal party, Coalition, Tony Abbott, Australia news]
Tue Sep 15 07:07:45 MSK 2015	Education	Fifth of secondary school pupils 'wake almost every night to use social media'	[Education, Children, Society, Social media, Digital media, Media]
Tue Sep 15 07:07:11 MSK 2015	Australia news	'A turnip would have done a better job than Tony': readers respond to spill	[Australian politics, Malcolm Turnbull, Tony Abbott]
Tue Sep 15 07:00:11 MSK 2015	Technology	iOS 9 review: an upgrade to jump for, or skip?	[iOS, Apple, Software, iPhone, iPad, Technology, Tablet computers, Smartphones]
Tue Sep 15 07:00:10 MSK 2015	Environment	Living without money: what I learned	[Ethical and green living, Environment]
Tue Sep 15 06:45:10 MSK 2015	Healthcare Professionals Network	A history of nursing – timeline	[Healthcare Network, Nursing, Health, Society, Work practices, Workforce, NHS, Hospitals and acute care]
Tue Sep 15 06:43:27 MSK 2015	Australia news	John Howard on fall of Tony Abbott: 'The king is dead, long live the king'	[John Howard, Tony Abbott, Malcolm Turnbull, Liberal party, Australian politics, Australia news]
Tue Sep 15 06:41:04 MSK 2015	Guardian Small Business Network	Inside the mind of tech investors: what are they looking for?	[Accessing expertise, Guardian Small Business Network, Business, Small business, Technology, Investing, Financial sector, Crowdfunding, Media & Tech Network, Entrepreneurs]
Tue Sep 15 06:33:59 MSK 2015	World news	North Korea says it has restarted all its nuclear bomb fuel plants	[North Korea, Asia Pacific, World news, Nuclear weapons]
Tue Sep 15 06:30:10 MSK 2015	Books	The Audacious Ascetic by Flagg Miller review – banality of evil, Al-Qaida style	[Politics, Osama bin Laden, Books, History, UK security and counter-terrorism, World news, UK news, Culture]
Tue Sep 15 06:30:10 MSK 2015	Technology	Yes, you’ve got rhythm … so bring a tingle to your spine by playing a musical game	[Games, Music, Technology]
Tue Sep 15 06:30:10 MSK 2015	Cities	Delhi Mumbai Corridor: how the world's largest infrastructure project is uprooting Indian farmers	[Cities, Land rights, India, India, Asia, Travel, World news, Delhi, Environment, South and Central Asia, Urbanisation]
Tue Sep 15 06:20:10 MSK 2015	Women in Leadership	Forget about 'mumpreneurs', here are the dads who mix work and family	[Women in Leadership, Entrepreneur, Guardian Small Business Network, Small business, Work & careers, Parents and parenting, Life and style, Family]
Tue Sep 15 06:15:10 MSK 2015	Education	‘There are just not enough teachers’: sciences struggle to recruit	[Science, Chemistry, Physics, Secondary schools, Schools, Education, Science policy, Science, Education policy, Politics, Teaching]
Tue Sep 15 06:15:09 MSK 2015	Public Leaders Network	Soon there won't be enough senior council roles left for graduates like me	[Public Leaders Network, Local government, Local government careers, Leadership and management, Local government, Society, Politics, Careers, Careers, Austerity, Public sector cuts, Public sector careers, Public services policy, Public finance]
Tue Sep 15 06:09:10 MSK 2015	Television & radio	All Change at Longleat review – there’s nothing like watching poshos feuding in their natural habitat	[Television, Television & radio, Culture, Documentary]
Tue Sep 15 06:08:09 MSK 2015	Australia news	Lucy Turnbull: the illustrious career of Australia's new 'first lady'	[Malcolm Turnbull, Australian politics, Tony Abbott, Australia news, Liberal party, Coalition, Sydney]
Tue Sep 15 06:00:32 MSK 2015	World news	Refugee crisis: thousands may lose right of asylum under EU plans	[Refugees, European Union, Migration, Europe, World news]
Tue Sep 15 06:00:13 MSK 2015	Politics	Corbyn's Commons debut as Labour leader passes with a hush	[Jeremy Corbyn, Labour, House of Commons]
Tue Sep 15 06:00:12 MSK 2015	Global development	Urban growth meets climate change: Asia proves need for integrated approach | Julian Hunt and Yuguo Li	[Sustainable development goals, Global development, Environmental sustainability, Pollution, Flooding, China, Energy efficiency, Climate change, Natural disasters and extreme weather, Asia Pacific, Urbanisation, Greenhouse gas emissions, Megacities, Natural resources and development]
Tue Sep 15 06:00:12 MSK 2015	World news	Greek election 2015: everything you need to know	[Greece, Syriza, Golden Dawn party, Europe, World news, European Union, Alexis Tsipras]
Tue Sep 15 06:00:11 MSK 2015	Technology	Super Mario Maker review – a designable Mario for the Minecraft generation	[Super Mario, Mario, Games, Culture, Nintendo, Wii U]
Tue Sep 15 06:00:11 MSK 2015	Society	Charity named in Home Office guidance on refugees says it was not consulted	[Charities, Voluntary sector, Refugees, Society, Politics, UK news]
Tue Sep 15 06:00:10 MSK 2015	Culture	A-ha: how we made Take on Me	[A-ha, Culture, Pop and rock, Music]
Tue Sep 15 06:00:10 MSK 2015	Money	I have lost £760 by mistyping a single digit … and Nationwide won’t give it back	[Banks and building societies, Consumer rights, Consumer affairs, Money, Banking, Current accounts]
Tue Sep 15 06:00:10 MSK 2015	Education	We’ll have to find refugees as big a space in our schools as our hearts	[School admissions, Schools, Education, Refugees, Teaching]
Tue Sep 15 06:00:10 MSK 2015	Education	As history shows, prizes don’t always end up in the right place	[Research funding, Higher education, Research, Education]
Tue Sep 15 06:00:09 MSK 2015	Technology	Brighton Digital Festival opens strange doors to tomorrow’s world	[Technology, Brighton, Art, UK news]
Tue Sep 15 06:00:09 MSK 2015	Global Development Professionals Network	Child brides in Bangladesh: 'The dreams I had as a young girl are impossible now'	[Global development professionals network, Bangladesh, Child marriage, South and Central Asia, Law, Human rights]
Tue Sep 15 05:56:36 MSK 2015	Comment is free	Christian refugees are fine, Muslims aren't. In a post-racist world, of course that's not racist | Yassir Morsi	[Australian immigration and asylum, Australia news, Refugees, Islam, Australian politics, Race issues]
Tue Sep 15 05:55:11 MSK 2015	Business	Team Turnbull must reverse Abbott's economic damage or face same fate	[Australian economy, Malcolm Turnbull, Tony Abbott, Scott Morrison, Joe Hockey, Economics, Business]
Tue Sep 15 05:50:09 MSK 2015	Guardian Careers	Are you the new boss? Five ways to survive the first three months as leader	[Guardian Careers, Work & careers, Job hunting, Management]
Tue Sep 15 05:48:47 MSK 2015	Sport	Jarryd Hayne's NFL debut: solid, if not spectacular, after a nightmare start | Mike Coppinger	[Jarryd Hayne, San Francisco 49ers, NFL, Australia sport, Sport, US sports]
Tue Sep 15 05:48:01 MSK 2015	Australia news	Anthony Albanese predicts Turnbull government has rocky road ahead	[Anthony Albanese, Labor party, Canning byelection 2015, Malcolm Turnbull, Liberal party, Western Australian politics, Australia news, Julia Gillard, Kevin Rudd, Peter Cosgrove]
Tue Sep 15 05:47:34 MSK 2015	Higher Education Network	Top 200 universities in the world - the table	[Higher Education Network, QS rankings 2015, Higher education, Education]
Tue Sep 15 05:47:24 MSK 2015	Higher Education Network	Top 200 universities in the world: the compiler's view	[QS rankings 2015, Higher Education Network, Higher education, Education]
Tue Sep 15 05:41:05 MSK 2015	Australia news	Nationals negotiate tougher Coalition agreement with Malcolm Turnbull	[National party, Australia news, Coalition, Malcolm Turnbull, Liberal party, Australian politics, Warren Truss, Barnaby Joyce, Rural Australia]
Tue Sep 15 05:30:09 MSK 2015	Books	William Boyd: my advice for budding authors	[William Boyd, Books, Membership, Fiction]
Tue Sep 15 05:30:08 MSK 2015	Travel	Sailing off Iceland … is no holiday	[Iceland, Europe, Travel, Sailing holidays, Adventure travel]
