Mon Aug 31 10:45:20 MSK 2015	Comment is free	Serena Williams is the best because of her brains – not just her body | Patrick A Wilson	[Serena Williams, Race issues, Sport, Tennis, Women, US sports, US Open tennis, US Open 2015]
Mon Aug 31 10:45:18 MSK 2015	Film	James Bond author Anthony Horowitz lambasts recent films	[Film, James Bond, Culture, Thriller, Skyfall, Spectre, Quantum of Solace, Daniel Craig, Film adaptations, Books, Idris Elba, Children and teenagers, Action and adventure]
Mon Aug 31 10:41:15 MSK 2015	Art and design	Get real. Terry Pratchett is not a literary genius	[Art and design, Books, Terry Pratchett, Culture]
Mon Aug 31 10:40:28 MSK 2015	Sport	New York Red Bulls have plenty to thank their rivals for	[MLS, Montreal Impact, New York City FC, Football, Sport, US sports, Seattle Sounders, New York Red Bulls, DC United, San Jose Earthquakes, LA Galaxy]
Mon Aug 31 10:22:27 MSK 2015	Football	Juventus rocked by Roma defeat which sees them roll to bottom of Serie A | Paolo Bandini	[Serie A, European club football, Juventus, Roma, Football, Sport]
Mon Aug 31 10:14:03 MSK 2015	Music	Evian Christ was 'not in a very good state' when he was detained at Leeds festival	[Reading and Leeds festival, Music, Pop and rock, Culture, Festivals, Music festivals]
Mon Aug 31 10:03:10 MSK 2015	Film	Phantom review – India's Jack Bauer blows diplomacy out of the water	[Bollywood, Film, Mumbai terror attacks, India, Culture, South and Central Asia, World news]
Mon Aug 31 10:00:10 MSK 2015	Environment	Citi report: slowing global warming would save tens of trillions of dollars | Dana Nuccitelli	[Climate change scepticism, COP 21: UN climate change conference | Paris, Climate change, Environment, Carbon tax, Greenhouse gas emissions, Economic policy, Climate change, Politics, US economic growth and recession, Economics]
Mon Aug 31 10:00:07 MSK 2015	UK news	George Osborne making 'wrong moral choice' on nuclear weapons	[Trident, Nuclear weapons, Defence policy, Scotland, Scottish politics, George Osborne, Politics, UK news, Tax and spending, Military]
Mon Aug 31 09:55:49 MSK 2015	World news	Austria defends border checks amid migration crisis	[Migration, Austria, Europe, World news]
Mon Aug 31 09:51:25 MSK 2015	Comment is free	He's staying! No-bias Dyson Heydon slices his reasons deli-thin | Richard Ackland	[Royal commission into trade union governance and corruption, Australia news, Australian law, Australian politics, Australian trade unions]
Mon Aug 31 09:42:07 MSK 2015	Comment is free	Don’t call me a neurotic, I prefer ‘original thinker’ | Fay Schopen	[Mental health, Society, UK news, Psychology, Science, Neuroscience]
Mon Aug 31 09:41:03 MSK 2015	Technology	Tidal takes shot at Apple after block on live stream of Drake festival set	[Apple Music, Tidal, Apple, Drake, Technology, Music, Culture, Digital music and audio]
Mon Aug 31 09:36:17 MSK 2015	Books	Poem of the week: from The Bard. A Pindaric Ode by Thomas Gray	[Poetry, Books, Culture]
Mon Aug 31 09:30:57 MSK 2015	Music	Five albums to try this week: Beach House, Yo La Tengo and more	[Music, Culture, Pop and rock, Motorhead, Americana, Indie, Yo La Tengo, The Weeknd, R&B]
Mon Aug 31 09:27:18 MSK 2015	Music	Miley Cyrus releases surprise new album featuring Ariel Pink and Wayne Coyne	[Miley Cyrus, Music, MTV VMAs 2015, Pop and rock, Culture]
Mon Aug 31 09:16:54 MSK 2015	Politics	First minister criticises UUP for quitting Northern Ireland's power-sharing deal	[Northern Irish politics, Northern Ireland, Democratic Unionist party (DUP), Ulster Unionist Party (UUP), Politics, UK news, Sinn Féin, IRA, UK security and counter-terrorism]
Mon Aug 31 09:16:47 MSK 2015	Environment	Queensland 'relying on meanie greenies' to oppose Acland coal plan	[Mining, Queensland, Mining, Environment, Annastacia Palaszczuk, Queensland politics, Labor party, Coalition, Coal, Fossil fuels, Activism]
Mon Aug 31 09:08:31 MSK 2015	Technology	Twitter publishes targets for a 'more diverse' workforce in 2016	[Twitter, Technology, Internet, Social networking, Business, Women, Race issues, Media]
Mon Aug 31 09:00:11 MSK 2015	Global development	An African story, told through the lives of 10 children born in 2005 | Sam Jones	[Global development, Millennium development goals, Education, Health, Infant and child mortality, Africa, World news]
Mon Aug 31 09:00:11 MSK 2015	Football	Louis van Gaal’s quest for control brings scant consolation at Swansea | Jonathan Wilson	[Manchester United, Louis van Gaal, Swansea City, Football, Sport]
Mon Aug 31 09:00:10 MSK 2015	Global development	Africa's children: how to donate	[Global development, Africa, Infant and child mortality, Millennium development goals, Ghana, Tanzania, Democratic Republic of the Congo, South Africa, South Sudan, Nigeria, Malawi, Uganda, Kenya, Zambia]
Mon Aug 31 09:00:10 MSK 2015	Global development	A Kenyan child's tale: Debrah Matei Mwololo at 10 years old | Murithi Mutiga	[Global development, Millennium development goals, Education, Infant and child mortality, Kenya, Africa, World news, Health]
Mon Aug 31 09:00:10 MSK 2015	Global development	Africa's children: 10 years on – interactive	[Global development, Millennium development goals, Education, Health, World news, Africa]
Mon Aug 31 09:00:10 MSK 2015	Football	Interview: Danny Williams happy to be in three worlds as USMNT career resumes	[USA, Reading, US sports, Football, Sport]
Mon Aug 31 09:00:10 MSK 2015	Global development	A Ghanaian child's tale: Hannah Adzo Klutsey at 10 years old | Sam Jones	[Global development, Millennium development goals, Ghana, Africa, World news, Education, Infant and child mortality, Health]
Mon Aug 31 09:00:09 MSK 2015	Global development	A Nigerian child's tale: Confidant Danjuma Martins at 10 years old | Isaac Abrak	[Global development, Millennium development goals, Education, Nigeria, Infant and child mortality, Africa, World news, Health]
Mon Aug 31 09:00:09 MSK 2015	Global development	A Tanzanian child's tale: Zainab Salehe Abu at 10 years old | Sam Jones	[Global development, Millennium development goals, Tanzania, Africa, Education, World news, Infant and child mortality, Health]
Mon Aug 31 09:00:09 MSK 2015	Global development	A Congolese child's tale: David Dieumerci Lewis at 10 years old | Aaron Ross	[Global development, Millennium development goals, Infant and child mortality, Democratic Republic of the Congo, Education, Africa, World news, Health]
Mon Aug 31 09:00:09 MSK 2015	Global development	A Ugandan child's tale: Wyclif Kukiriza at 10 years old | Liz Ford	[Global development, Millennium development goals, Uganda, Africa, World news, Education, Infant and child mortality, Health]
Mon Aug 31 09:00:08 MSK 2015	Global development	A South African child's tale: Angel Siyavuya Swartbooi at 10 years old | David Smith	[Global development, Millennium development goals, South Africa, Africa, World news, Infant and child mortality, Education, Health]
Mon Aug 31 09:00:08 MSK 2015	Global development	A Malawian child's tale: Innocent Smoke at 10 years old | John Vidal	[Global development, Millennium development goals, Malawi, Africa, World news, Infant and child mortality, Education, Health]
Mon Aug 31 08:50:53 MSK 2015	Football	Construction workers at Russian World Cup stadium complain of not being paid	[World Cup 2018, Russia, Europe, Football, Sport, World Cup, World news]
Mon Aug 31 08:44:06 MSK 2015	Media	Mozambique journalist is shot dead while jogging	[Media, Press freedom, Journalist safety, Human rights, Mozambique, Africa, Digital media, World news, Newspapers]
Mon Aug 31 08:28:12 MSK 2015	Australia news	Australia's deal to resettle asylum seekers in Cambodia goes flat	[Australian immigration and asylum, Australia news, Cambodia, Scott Morrison, Peter Dutton, Julie Bishop, Tony Abbott, Coalition, Manus Island, Papua New Guinea, Asia Pacific]
Mon Aug 31 08:11:07 MSK 2015	Environment	Five near-blind monk seals become ambassadors for vanishing species	[Conservation, Hawaii, Marine life, Environment, Endangered species, Animals, US news, Wildlife, World news, Oceans]
Mon Aug 31 08:09:45 MSK 2015	Australia news	Border force launches internal review in wake of 'badly worded' press release	[Australian immigration and asylum, Australia news, Australian politics, Victoria, Melbourne, Peter Dutton]
Mon Aug 31 08:05:25 MSK 2015	Film	Universal makes a minion of the competition in 2015's summer battle	[Film, Culture, Pixels, Universal Pictures, Warner Bros, Minions, Jurassic World, Fast & Furious 7, Mad Max: Fury Road]
Mon Aug 31 08:01:51 MSK 2015	Australia news	Dyson Heydon rejects call to disqualify himself from union royal commission	[Royal commission into trade union governance and corruption, Australian trade unions, Australia news, Australian politics, George Brandis, Labor party]
Mon Aug 31 08:01:16 MSK 2015	Film	Wes Craven: the mainstream horror maestro inspired by Ingmar Bergman	[Wes Craven, Horror, Film, Culture, Ingmar Bergman]
